Nome;Binari;Città;Provincia
Firenze Santa Maria Novella;18;Firenze;FI
Roma Termini;32;Roma;RO
Prato Centrale;7;Prato;PO
Torino Porta Susa;6;Torino;TO
Siena;7;Siena;SI
Livorno Centrale;7;Livorno;LI
Como San Giovanni;4;San Giovanni;CO
Monterosso;3;Monterosso;SP
Madonna Di Castro;3;Castro;BG
Anconetta;1;Anconetta;VI
Firenze Rifredi;9;Firenze;FI
Bologna Corticella;4;Bologna;BO
Padova;11;Padova;PD
Milano Centrale;24;Milano;MI
Vignola;3;Vignola;MO
Milano Porta Garibaldi;22;Milano;MI
Figline Valdarno;4;Figline;FI
Arezzo;7;Arezzo;AR
Bologna Centrale;27;Bologna;BO
La Spezia Centrale;7;La Spezia;SP
Genova Piazza Principe;13;Genova;GV
Pisa San Rossore;6;Pisa;PI
San Giovanni Valdarno;4;San Giovanni;AR
Castrì di Lecce;2;Castro;LE
